Vigencia,Tipo,Componente Base,Componente Variable,Impuesto Especifico Resultante,Otro
20-07-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,2323","1,1677",UTM/m3
20-07-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","-0,3530","1,5770",UTM/1000m3
13-07-2023,Gasolina Automotriz 93 (*),"6,00","0,00","6,00",UTM/m3
13-07-2023,Gasolina Automotriz 97 (*),"6,00","0,00","6,00",UTM/m3
13-07-2023,Petroleo Diesel,"1,50","2,0128","3,5128",UTM/m3
13-07-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0000","1,40",UTM/m3
13-07-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,0000","1,93",UTM/1000m3
06-07-2023,Gasolina Automotriz 93 (*),"6,00","0,1559","6,1559",UTM/m3
06-07-2023,Gasolina Automotriz 97 (*),"6,00","-0,0237","5,9763",UTM/m3
06-07-2023,Petroleo Diesel,"1,50","2,2633","3,7633",UTM/m3
06-07-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,4372","1,8372",UTM/m3
06-07-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,6643","2,5943",UTM/1000m3
29-06-2023,Gasolina Automotriz 93 (*),"6,00","0,1389","6,1389",UTM/m3
29-06-2023,Gasolina Automotriz 97 (*),"6,00","-0,0276","5,9724",UTM/m3
29-06-2023,Petroleo Diesel,"1,50","2,4173","3,9173",UTM/m3
29-06-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,3622","1,7622",UTM/m3
29-06-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,5504","2,4804",UTM/1000m3
22-06-2023,Gasolina Automotriz 93 (*),"6,00","0,0000","6,00",UTM/m3
22-06-2023,Gasolina Automotriz 97 (*),"6,00","0,0000","6,00",UTM/m3
22-06-2023,Petroleo Diesel,"1,50","2,5809","4,0809",UTM/m3
22-06-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,3440","1,7440",UTM/m3
22-06-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,5227","2,4527",UTM/1000m3
15-06-2023,Gasolina Automotriz 93 (*),"6,00","0,2380","6,2380",UTM/m3
15-06-2023,Gasolina Automotriz 97 (*),"6,00","0,2514","6,2514",UTM/m3
15-06-2023,Petroleo Diesel,"1,50","3,0820","4,5820",UTM/m3
15-06-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,6785","2,0785",UTM/m3
15-06-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","1,0310","2,9610",UTM/1000m3
08-06-2023,Gasolina Automotriz 93 (*),"6,00","0,0070","6,0070",UTM/m3
08-06-2023,Gasolina Automotriz 97 (*),"6,00","0,0079","6,0079",UTM/m3
08-06-2023,Petroleo Diesel,"1,50","2,9005","4,4005",UTM/m3
08-06-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,6486","2,0486",UTM/m3
08-06-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,9855","2,9155",UTM/1000m3
01-06-2023,Gasolina Automotriz 93 (*),"6,00","0,0000","6,00",UTM/m3
01-06-2023,Gasolina Automotriz 97 (*),"6,00","0,0000","6,00",UTM/m3
01-06-2023,Petroleo Diesel,"1,50","2,7888","4,2888",UTM/m3
01-06-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,5172","1,9172",UTM/m3
01-06-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,7859",,UTM/1000m3
25-05-2023,Gasolina Automotriz 93 (*),"6,00","0,7807","6,7807",UTM/m3
25-05-2023,Gasolina Automotriz 97 (*),"6,00","0,7725","6,7725",UTM/m3
25-05-2023,Petroleo Diesel,"1,50","3,2260","4,7260",UTM/m3
25-05-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,4697","1,8697",UTM/m3
25-05-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,7137","2,6437",UTM/1000m3
18-05-2023,Gasolina Automotriz 93 (*),"6,00","0,9915","6,9915",UTM/m3
18-05-2023,Gasolina Automotriz 97 (*),"6,00","0,9722","6,9722",UTM/m3
18-05-2023,Petroleo Diesel,"1,50","3,3797","4,8797",UTM/m3
18-05-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,4976","1,8976",UTM/m3
18-05-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,7561","2,6861",UTM/1000m3
11-05-2023,Gasolina Automotriz 93 (*),"6,00","0,7492","6,7492",UTM/m3
11-05-2023,Gasolina Automotriz 97 (*),"6,00","0,6008","6,6008",UTM/m3
11-05-2023,Petroleo Diesel,"1,50","3,1485","4,6485",UTM/m3
11-05-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,2308","1,6308",UTM/m3
11-05-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,3507","2,2807",UTM/1000m3
04-05-2023,Gasolina Automotriz 93 (*),"6,00","0,5904","6,5904",UTM/m3
